movieId,movieName,nbMentions,genre,category
75796,Headhunter  (2009),1,Thriller,Thriller
75815,Angels in the Outfield  (1994),6,Fantasy|Drama|Comedy|Children,Drama
75822,Eddie and the Cruisers (1983),1,Drama|Music,Drama
75828,Ninja Assassin (2009),5,Action|Crime|Thriller,Action
75867,Orgazmo (1997),3,Comedy,Comedy
75881,Toy Story 2 (1999),26,Animation|Comedy|Children,Comedy
75903,A Star Is Born  (1954),2,Drama|Music|Romance,Drama
75918,Pretty in Pink (1986),54,Comedy,Comedy
75962,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1,Action|Adventure|Drama,Action
75968,An American Werewolf in Paris (1997),3,Horror|Comedy,Comedy
75981,The Golden Temple  (2012),1,Action|Adventure|Drama,Action
75984,Fool's Gold  (2008),9,Romance|Comedy|Adventure,Comedy
76012,The Exorcist  (1973),174,Drama|Horror|Thriller,Drama
76019,The War Bride (2001),4,Drama|Romance,Drama
76023,Flick  (2008),1,Comedy|Crime|Horror,Comedy
76036,National Security  (2012),1,Action|Comedy|Crime|Thriller,Comedy
76042,The Vow  (2012),28,Drama|Romance,Drama
76067,Winter's Bone (2010),3,Drama,Drama
76069,Love Station (2016),1,Drama|Romance|Action,Drama
76071,Fight Club – Members Only (2006),1,Action,Action
76102,IMurders (2008),1,Drama|Horror|Mystery|Thriller,Drama
76111,Pocahontas II: Journey to a New World (1998),1,Adventure|Animation|Romance|Children,Romance
76113,Just One of the Guys (1985),1,Comedy|Romance,Comedy
76130,Prince  (1969),1,Action|Romance|Drama|Sci-Fi,Action
76137,Love Liza (2002),1,Comedy|Drama,Drama
76143,Anomalisa (2015),2,Animation|Comedy|Drama|Romance,Drama
76145,The Great Gatsby  (1926),1,Drama,Drama
76160,Million Dollar Baby (2004),30,Drama,Drama
76170,Insidious: Chapter 3 (2015),2,Drama|Horror|Thriller,Drama
76171,The Mummy ,1,Adventure|Action|Fantasy,Action
76177,Ride Along 2 (2016),10,Action|Comedy,Comedy
76187,The Hills Have Eyes  (2006),10,Horror|Thriller,Thriller
76195,Dirty Work  (1998),1,Comedy,Comedy
76198,North Dallas Forty (1979),2,Comedy|Drama,Drama
76279,Death at a Funeral  (2007),4,Comedy|Drama,Drama
76284,The Cowboys (1972),2,Action|Adventure|Drama|Western,Drama
76325,My Scientology Movie (2015),1,Documentary,Documentary
76336,Blackhat  (2015),2,Crime|Drama|Mystery,Drama
76339,Hereafter  (2010),2,Drama|Fantasy,Drama
76356,The Parent Trap  (1998),25,Comedy|Drama|Children,Drama
76365,Anna and the King (1999),2,Drama|History|Romance,Drama
76391,Beware! The Blob (1972),1,Comedy|Sci-Fi|Horror,Comedy
76481,The Exorcist ,10,Drama|Horror|Thriller,Drama
76483,Brave  (2012),32,Animation|Adventure|Comedy|Children|Action|Fantasy,Comedy
76488,The Royal Scandal,1,Crime|Thriller,Thriller
76508,Chloe  (2009),1,Drama|Thriller|Mystery,Drama
76512,Mississippi Damned (2009),1,Drama,Drama
76519,Cloverfield (2008),32,Action|Thriller|Sci-Fi,Action
76524,Okja,8,Adventure|Drama|Fantasy|Sci-Fi,Drama
76530,Killers  (2010),6,Action|Comedy|Thriller|Romance,Comedy
76620,The Shaggy Dog  (1959),1,Comedy|Children,Comedy
76627,No Good Deed  (2014),2,Crime|Thriller,Thriller
76636,Double Impact (1991),2,Thriller|Action|Crime|Drama,Drama
76639,First Kill  (2017),1,Action|Thriller,Action
76658,Torque  (2004),1,Action,Action
76660,Batman: Revenge (2003),3,Action|Adventure|Crime|Fantasy,Action
76706,The Incredible Hulk  (2008),35,Sci-Fi|Action|Adventure,Action
76724,Red Lines (2014),1,Thriller,Thriller
76746,All the Pretty Horses  (2000),1,Drama|Romance|Western,Drama
76757,Pinocchio  (1940),2,Animation|Children|Comedy|Adventure,Children
76772,Ouija  (2015),7,Horror,Horror
76781,White Men Can't Jump (1992),6,Comedy|Drama,Drama
76802,Contagion  (2011),5,Drama|Thriller|Sci-Fi,Drama
