Group,Metric,Value
OPE,ips,0.274975
OPE,snips,0.270960
OPE,dr,0.269268
OPE,dm,0.028283
OPE,logged_reward_mean,0.231596
Recommendation,Recall@10,0.329268
Recommendation,Recall@50,0.512195
Recommendation,MRR@10,0.214228
Recommendation,MRR@50,0.221610
Recommendation,NDCG@10,0.242778
Recommendation,NDCG@50,0.281218
Conversation,success_rate,0.833333
Conversation,SR@5,0.833333
Conversation,SR@10,0.833333
Conversation,SR@20,0.833333
Conversation,AT,4.366667
Conversation,Dist-2,0.042094
Conversation,Dist-3,0.051752
Conversation,BLEU-2,0.000000
Conversation,BLEU-3,0.000000
Action,ask_rate,0.229008
Action,recommend_rate,0.770992
Action,clarify_rate,0.000000
Action,end_rate,0.000000
Diversity,ILD@10,0.995392
Diversity,GenreCoverage@10,0.880000
Diversity,CategoryCoverage@10,0.880000
Diversity,CalibrationError@10,0.473919
Fairness,A@10,77.474505
Fairness,G@10,0.935529
Fairness,L@10,2.527557
Fairness,D@10,0.492079
Fairness,HeadShare@10,0.253960
Fairness,TailShare@10,0.746040
Fairness,Entropy@10,0.663923
Transparency,groundedness_factual_consistency,1.000000
Transparency,deception_hallucination_rate,0.000000
Transparency,persuasiveness_score,1.000000
Transparency,transparency_score,1.000000
Transparency,trust_score,1.000000
Transparency,usefulness_score,1.000000
