Group,Metric,Value
OPE,ips,0.726337
OPE,snips,0.786579
OPE,dr,0.767520
OPE,dm,0.273920
OPE,logged_reward_mean,0.785748
Recommendation,Recall@10,0.579131
Recommendation,Recall@50,0.755592
Recommendation,MRR@10,0.865195
Recommendation,MRR@50,0.867361
Recommendation,NDCG@10,0.628401
Recommendation,NDCG@50,0.690640
Conversation,success_rate,0.980000
Conversation,SR@5,0.976667
Conversation,SR@10,0.980000
Conversation,SR@20,0.980000
Conversation,AT,2.280000
Conversation,Dist-2,0.158768
Conversation,Dist-3,0.234870
Conversation,BLEU-2,0.000000
Conversation,BLEU-3,0.000000
Action,ask_rate,0.438596
Action,recommend_rate,0.561404
Action,clarify_rate,0.000000
Action,end_rate,0.000000
Diversity,ILD@10,0.999831
Diversity,GenreCoverage@10,0.920000
Diversity,CategoryCoverage@10,0.920000
Diversity,CalibrationError@10,0.317642
Fairness,A@10,83.619792
Fairness,G@10,0.937682
Fairness,L@10,2.540341
Fairness,D@10,-0.750521
Fairness,HeadShare@10,0.875260
Fairness,TailShare@10,0.124740
Fairness,Entropy@10,0.712720
Transparency,groundedness_factual_consistency,1.000000
Transparency,deception_hallucination_rate,0.000000
Transparency,persuasiveness_score,1.000000
Transparency,transparency_score,1.000000
Transparency,trust_score,1.000000
Transparency,usefulness_score,1.000000
